N algo time GFLOPS
128 classic 0.0110341 0.380122
128 transpose 0.0112339 0.373361
128 buffer 0.0093746 0.447412
128 buffer_unroll_M1 0.0127178 0.329798
128 buffer_unroll_M2 0.011497 0.364817
128 buffer_unroll_M4 0.0110043 0.381151
128 buffer_unroll_M8 0.0101447 0.413448
128 buffer_unroll_M16 0.0102669 0.408527
128 block_S1 0.0400392 0.104755
128 block_S2 0.0228221 0.183783
128 block_S4 0.0172257 0.243491
128 block_S8 0.0145512 0.288245
128 block_S16 0.0135715 0.309052
128 block_S32 0.0128172 0.32724
128 block_S64 0.0124207 0.337687
128 block_S128 0.0122239 0.343123
128 block_unroll_S8_M1 0.0150382 0.27891
128 block_unroll_S8_M2 0.0153343 0.273524
128 block_unroll_S8_M4 0.0157034 0.267095
128 block_unroll_S8_M8 0.0178521 0.234947
128 block_unroll_S8_M16 0.0215369 0.19475
128 block_unroll_S16_M1 0.0141371 0.296688
128 block_unroll_S16_M2 0.0130995 0.320188
128 block_unroll_S16_M4 0.0153869 0.272589
128 block_unroll_S16_M8 0.0149048 0.281406
128 block_unroll_S16_M16 0.0170119 0.246551
128 block_unroll_S32_M1 0.0131433 0.319121
128 block_unroll_S32_M2 0.0123369 0.33998
128 block_unroll_S32_M4 0.0121963 0.3439
128 block_unroll_S32_M8 0.0126264 0.332185
128 block_unroll_S32_M16 0.0138022 0.303887
128 block_unroll_S64_M1 0.012717 0.329819
128 block_unroll_S64_M2 0.0118117 0.355097
128 block_unroll_S64_M4 0.0116143 0.361133
128 block_unroll_S64_M8 0.0116758 0.359231
128 block_unroll_S64_M16 0.0122015 0.343753
128 block_unroll_S128_M1 0.012467 0.336433
128 block_unroll_S128_M2 0.0117175 0.357952
128 block_unroll_S128_M4 0.0113199 0.370525
128 block_unroll_S128_M8 0.0112647 0.37234
128 block_unroll_S128_M16 0.0114834 0.365249
256 classic 0.0865471 0.387701
256 transpose 0.0869825 0.385761
256 buffer 0.0658285 0.509725
256 buffer_unroll_M1 0.0849755 0.394872
256 buffer_unroll_M2 0.0785654 0.427089
256 buffer_unroll_M4 0.0784917 0.42749
256 buffer_unroll_M8 0.0728457 0.460623
256 buffer_unroll_M16 0.0734404 0.456893
256 block_S1 0.303099 0.110704
