N algo time GFLOPS
128 classic 0.0009208 4.55507
128 transpose 0.0008918 4.70319
128 transpose_full 0.0009209 4.55457
128 buffer 0.0008677 4.83382
128 buffer_unroll_M1 0.0047074 0.891002
128 buffer_unroll_M2 0.00239 1.75494
128 buffer_unroll_M4 0.0012831 3.26888
128 buffer_unroll_M8 0.0010388 4.03764
128 buffer_unroll_M16 0.000841 4.98728
128 block_S1 0.0051237 0.818608
128 block_S2 0.0014833 2.82768
128 block_S4 0.0010322 4.06346
128 block_S8 0.0008458 4.95898
128 block_S16 0.0007309 5.73855
128 block_S32 0.0007174 5.84653
128 block_S64 0.0008646 4.85115
128 block_S128 0.0010129 4.14089
128 block_unroll_S8_M1 0.0032874 1.27587
128 block_unroll_S8_M2 0.0022577 1.85778
128 block_unroll_S8_M4 0.0020763 2.02009
128 block_unroll_S8_M8 0.0020078 2.089
128 block_unroll_S8_M16 0.0017817 2.3541
128 block_unroll_S16_M1 0.0038317 1.09463
128 block_unroll_S16_M2 0.0021096 1.9882
128 block_unroll_S16_M4 0.0018886 2.22085
128 block_unroll_S16_M8 0.0017176 2.44196
128 block_unroll_S16_M16 0.0016769 2.50122
128 block_unroll_S32_M1 0.0040155 1.04453
128 block_unroll_S32_M2 0.0021641 1.93813
128 block_unroll_S32_M4 0.0018546 2.26157
128 block_unroll_S32_M8 0.0015753 2.66254
128 block_unroll_S32_M16 0.0014869 2.82084
128 block_unroll_S64_M1 0.0046815 0.895932
128 block_unroll_S64_M2 0.0023094 1.81619
128 block_unroll_S64_M4 0.0017097 2.45324
128 block_unroll_S64_M8 0.0014784 2.83706
128 block_unroll_S64_M16 0.0013455 3.11728
128 block_unroll_S128_M1 0.0049946 0.839768
128 block_unroll_S128_M2 0.0029339 1.4296
128 block_unroll_S128_M4 0.0017649 2.37651
128 block_unroll_S128_M8 0.001478 2.83782
128 block_unroll_S128_M16 0.0013563 3.09246
256 classic 0.0093481 3.58944
256 transpose 0.0088081 3.8095
256 transpose_full 0.0089041 3.76842
256 buffer 0.0093893 3.57369
256 buffer_unroll_M1 0.0403979 0.830598
256 buffer_unroll_M2 0.0195752 1.71413
256 buffer_unroll_M4 0.0105925 3.16775
256 buffer_unroll_M8 0.008594 3.9044
256 buffer_unroll_M16 0.0076679 4.37596
256 block_S1 0.0417581 0.803543
256 block_S2 0.0119689 2.80347
256 block_S4 0.0086783 3.86648
256 block_S8 0.0078643 4.26668
256 block_S16 0.0074874 4.48145
256 block_S32 0.0073155 4.58676
256 block_S64 0.0070084 4.78774
256 block_S128 0.0075767 4.42863
256 block_S256 0.0089347 3.75552
256 block_unroll_S8_M1 0.0267961 1.25221
256 block_unroll_S8_M2 0.0200784 1.67117
256 block_unroll_S8_M4 0.0177993 1.88515
256 block_unroll_S8_M8 0.016571 2.02489
256 block_unroll_S8_M16 0.0178822 1.87642
256 block_unroll_S16_M1 0.029363 1.14275
256 block_unroll_S16_M2 0.0167546 2.0027
256 block_unroll_S16_M4 0.0149371 2.24638
256 block_unroll_S16_M8 0.0137478 2.44071
256 block_unroll_S16_M16 0.0134324 2.49802
256 block_unroll_S32_M1 0.0318522 1.05344
256 block_unroll_S32_M2 0.0171237 1.95953
256 block_unroll_S32_M4 0.0147966 2.26771
256 block_unroll_S32_M8 0.012211 2.74789
256 block_unroll_S32_M16 0.0115507 2.90497
256 block_unroll_S64_M1 0.0362037 0.926823
256 block_unroll_S64_M2 0.0181234 1.85144
256 block_unroll_S64_M4 0.0138614 2.42071
256 block_unroll_S64_M8 0.0117414 2.85779
256 block_unroll_S64_M16 0.0104446 3.21261
256 block_unroll_S128_M1 0.0392506 0.854877
256 block_unroll_S128_M2 0.0193867 1.7308
256 block_unroll_S128_M4 0.0136941 2.45028
256 block_unroll_S128_M8 0.0114928 2.9196
256 block_unroll_S128_M16 0.0099921 3.3581
512 classic 0.0810452 3.31217
512 transpose 0.0784679 3.42096
512 transpose_full 0.078926 3.4011
512 buffer 0.0757798 3.54231
512 buffer_unroll_M1 0.334171 0.803289
512 buffer_unroll_M2 0.165088 1.62601
512 buffer_unroll_M4 0.08698 3.08617
512 buffer_unroll_M8 0.0709079 3.78569
512 buffer_unroll_M16 0.0542793 4.94545
512 block_S1 0.335808 0.799371
