size_kb,seq,random,random_idx
1,1.3125,9.02344,1.96875
2,1.39453,9.26758,2.13281
3,1.36719,11.8125,2.13281
4,1.39453,11.1152,2.13281
5,1.37813,12.4359,2.13281
6,2.78906,11.8945,2.15951
7,1.38281,11.5078,2.13281
8,1.39404,12.2637,2.15332
9,1.38542,11.9219,2.15104
10,1.37813,12.4852,2.14922
11,1.38672,12.185,2.16229
12,1.38086,11.9219,2.14648
13,1.38822,12.3552,2.22115
14,1.39453,12.1286,2.20312
15,1.38906,12.3154,2.1875
16,1.36377,12.0996,2.17383
17,1.37017,12.3915,2.19049
18,1.36719,12.2135,2.20551
19,1.38158,12.486,2.20189
20,1.38633,12.3047,2.21465
21,1.39062,12.1873,2.19531
22,1.37962,12.3867,2.20739
23,1.3767,12.2262,2.20414
24,1.38086,12.0928,2.20785
25,1.38469,12.2981,2.21156
26,1.38191,12.21,2.21484
27,1.37934,12.5964,2.21181
28,1.38281,12.4746,2.20898
29,1.38039,12.3895,2.22333
30,1.38359,12.6109,2.22031
31,1.41305,12.4529,2.27041
32,1.40991,12.6021,2.28149
33,1.4169,12.5135,2.28693
34,1.40901,12.7679,2.27757
35,1.41094,12.9,2.28281
36,1.4082,12.8288,2.27865
37,1.40562,12.9919,2.2879
38,1.40748,12.8746,2.27961
39,1.40915,13.024,2.28005
40,1.41094,12.9321,2.28447
41,1.38853,12.6848,2.24486
42,1.38672,12.793,2.24991
43,1.39253,12.7435,2.23964
44,1.38707,12.8565,2.24094
45,1.39271,12.7823,2.23854
46,1.38383,12.7612,2.23981
47,1.38231,12.8423,2.23404
48,1.3877,12.7832,2.23869
49,1.38616,13.0949,2.28013
50,1.41094,12.8297,2.73984
51,1.40901,12.9319,2.27428
52,1.41031,12.8663,2.27479
53,1.40537,12.5214,2.27211
54,1.40972,12.6722,2.26953
55,1.40497,12.9967,2.27301
56,1.40039,13.0898,2.26758
57,1.39885,13.5769,2.26809
58,1.40302,13.5267,2.27142
59,1.3987,13.6116,2.27178
60,1.4,13.773,2.27227
61,1.40126,13.0362,2.25922
62,1.39453,12.998,2.26777
63,1.39323,12.9427,2.27083
64,1.40222,13.6377,2.26868
65,1.40337,13.6576,2.27668
66,1.40193,13.6693,2.27699
67,1.40065,12.9487,2.26259
68,1.39212,12.751,2.27028
69,1.39334,12.8135,2.26121
70,1.39453,12.9421,2.26406
71,1.39107,13.1458,2.2368
72,1.37858,13.5055,2.24674
73,1.37987,13.6419,2.25862
74,1.38788,13.5307,2.25248
75,1.36281,13.3394,2.22031
76,1.36431,13.3452,2.22564
77,1.36577,12.9865,2.22443
78,1.36298,13.0598,2.25686
79,1.38311,13.5424,2.25742
80,1.38833,13.285,2.27017
81,1.38542,13.2445,2.27662
82,1.39053,13.3851,2.27687
83,1.39157,13.461,2.22369
84,1.36523,13.3574,2.2207
85,1.35496,13.8681,2.25634
86,1.35828,14.0197,2.30637
87,1.3785,14.115,2.29122
88,1.37775,13.6806,2.27264
89,1.39177,13.6448,2.28213
90,1.35803,13.5552,2.275
91,1.38822,13.2692,2.26442
92,1.38561,13.3729,2.30222
93,1.37777,14.1605,2.31275
94,1.37708,14.221,2.31084
95,1.3764,13.9678,2.27442
96,1.35693,14.0273,2.26953
97,1.34971,13.5089,2.2715
98,1.34933,13.9754,2.32027
99,1.38045,14.2304,2.33168
100,1.38633,14.2718,2.33625
101,1.74617,13.955,2.33748
102,1.38327,14.2139,2.34191
103,1.36662,13.7207,2.30802
104,1.36456,13.8838,2.3442
105,1.38594,14.2906,2.27656
106,1.35119,13.8803,2.27985
107,1.38763,14.3869,2.3367
108,1.39149,14.1428,2.44119
109,1.41636,14.7762,2.48803
110,1.44521,14.8014,2.48033
111,1.44552,14.4493,2.49198
112,1.44434,14.8228,2.43604
113,1.41555,14.5696,2.44203
114,1.40748,14.39,2.43356
115,1.41804,14.5031,2.44664
116,1.41575,14.8477,2.50051
117,1.4387,13.8345,2.33894
118,1.37086,14.3861,2.46372
119,1.42279,14.6374,2.48851
120,1.43691,14.0697,2.31602
121,1.36538,14.8117,2.50161
122,1.44563,14.4281,2.50397
123,1.44455,14.795,2.44493
124,1.41702,14.1517,2.45297
125,1.41488,14.2354,2.34281
126,1.38151,14.2617,2.50911
127,1.44427,14.8341,2.61854
128,1.50092,15.295,2.45068
129,1.40785,14.5545,2.44186
130,1.50051,15.2111,2.63131
131,1.44525,14.8633,2.46344
132,1.41815,14.6314,2.50568
133,1.44449,14.9544,2.46587
134,1.41535,14.6309,2.46828
135,1.4158,14.5201,2.4658
136,1.41504,14.5726,2.46697
137,1.41549,14.6171,2.52081
138,1.72382,14.2188,2.37412
139,1.37742,14.2604,2.36651
140,1.37695,14.5957,2.52188
141,1.44398,14.2653,2.37248
142,1.37836,14.5392,2.47134
143,1.41688,14.5213,2.46438
144,1.39339,14.1185,2.37318
145,1.38605,14.3153,2.35003
146,1.36304,14.0745,2.47217
147,1.44531,14.9263,2.47879
148,1.42335,14.7335,2.47643
149,1.4182,14.1556,2.53248
150,1.44484,14.6562,2.47844
151,1.41572,14.8884,2.53045
152,1.44526,14.6545,2.49224
153,1.42188,14.6788,2.53171
154,1.44567,14.4396,2.53232
155,1.44584,14.918,2.53818
156,1.44499,14.5784,2.48197
157,1.37833,14.1188,2.3951
158,1.40907,14.6005,2.34152
159,1.36409,14.2786,2.38252
160,1.3771,14.1401,2.35017
161,1.35629,14.1552,2.34579
162,1.35807,14.3767,2.39815
163,1.37792,14.3922,2.4861
164,1.71365,14.4335,2.39491
165,1.38608,14.3778,2.38236
166,1.38465,14.3574,2.39867
167,1.38616,14.9876,2.40298
168,1.44629,14.1455,2.54102
169,1.38143,13.8531,2.39104
170,1.44472,14.8988,2.53139
171,1.4449,14.9143,2.55688
172,1.45272,14.9354,2.54676
173,1.43768,14.7969,2.53775
174,1.44637,14.6572,2.52128
175,1.43813,14.7637,2.52188
176,1.43741,14.8206,2.53083
177,1.44505,14.8657,2.53509
178,1.44705,14.4854,2.54942
179,1.37666,14.2808,2.53699
180,1.43828,14.8613,2.54844
181,1.44574,14.8961,2.53708
182,1.4369,14.8314,2.53754
183,1.44518,14.7011,2.55238
184,1.44535,14.8209,2.5501
185,1.44464,14.9066,2.39088
186,1.38395,14.8547,2.55091
187,1.44498,14.3225,2.39073
188,1.45213,15.2212,2.57089
189,1.44616,14.4722,2.55295
190,1.44375,14.8908,2.55417
191,1.44564,14.416,2.40768
192,1.41589,14.6631,2.50366
193,1.41536,14.8931,2.55359
194,1.44525,14.9517,2.50576
195,1.41514,14.8792,2.55685
196,1.41629,14.7941,2.49275
197,1.40911,14.5224,2.50424
198,1.41606,14.5891,2.40045
199,1.37679,14.8497,2.56234
200,1.44457,14.3054,2.415
201,1.43902,14.3518,2.41684
202,1.38478,14.6007,2.50642
203,1.41674,14.4246,2.51022
204,1.4082,14.4874,2.49632
205,1.41574,14.1774,2.49615
206,1.40887,14.5936,2.49755
207,1.41633,14.2568,2.40387
208,1.40794,14.3326,2.49641
209,1.41533,14.6392,2.52609
210,1.38516,14.182,2.40703
211,1.37781,14.2999,2.40418
212,1.37751,14.3121,2.40909
213,1.38336,14.8527,2.42088
214,1.3861,14.1584,2.51228
215,1.41552,14.5062,2.35867
216,1.35048,14.5689,2.51335
217,1.41608,14.4095,2.51159
218,1.4156,14.3698,2.56478
219,1.4451,15.0009,2.56582
220,1.41614,14.8656,2.4117
221,1.44538,14.9096,2.56931
222,1.44478,14.5905,2.51341
223,1.4155,14.5949,2.56835
224,1.44507,14.6111,2.521
225,1.41604,14.6869,2.51634
226,1.41629,14.7918,2.51829
227,1.41585,15.119,2.36192
228,1.34992,15.2297,2.57173
229,1.44504,14.8136,2.5333
230,1.41593,14.8855,2.41243
231,1.37926,14.7074,2.53125
232,1.41644,14.6716,2.53307
233,1.37658,14.3368,2.42644
234,1.3847,14.537,2.52332
235,1.41582,14.6986,2.41207
236,1.3556,14.1441,2.53252
237,1.38517,14.4417,2.4284
238,1.38557,14.3948,2.41958
239,1.37771,14.7512,2.42799
240,1.37879,14.5571,2.38506
241,1.37785,14.3422,2.53446
242,1.423,14.4653,2.3816
243,1.35637,14.3396,2.41704
244,1.35755,13.9251,2.43539
245,1.38549,14.3799,2.43013
246,1.38453,15.0757,2.43293
247,1.38556,14.763,2.53799
248,1.3555,14.7259,2.42257
249,1.38564,14.2682,2.43457
250,1.36303,14.5307,2.37956
251,1.35695,13.942,2.4191
252,1.3776,13.7591,2.43034
253,1.38448,14.2196,2.40841
254,1.38484,14.1107,2.41183
255,1.38585,14.2368,2.41267
256,1.39197,14.1965,2.31482
257,1.39166,13.833,2.3524
258,1.378,14.5424,2.53534
259,1.35621,14.1049,2.44383
260,1.39262,14.4659,2.37828
261,1.35713,13.9309,2.39179
262,1.36322,14.281,2.26682
